;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;ALL;;;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;;
03:Q1;2.18;8.27;1.44;0.81;;4.83;2.54;;03:Q1;5.06;15.92;21.30;0.31;4.30;;
03:Q2;2.19;8.41;1.50;0.78;;4.99;2.59;;03:Q2;4.15;17.94;20.80;0.32;3.89;;
03:Q3;2.14;8.17;1.50;0.71;;5.06;2.54;;03:Q3;4.99;13.65;20.30;0.19;3.52;;
03:Q4;2.04;8.06;1.44;0.47;;4.88;2.43;;03:Q4;4.57;19.43;24.40;0.52;3.79;OTHER;ALL
04:Q1;1.97;7.77;1.34;0.41;5.77;4.98;2.27;;04:Q1;5.52;14.54;19.80;0.23;3.69;8.36;52.14
04:Q2;1.82;7.34;1.29;0.36;5.40;5.16;2.15;;04:Q2;3.58;11.98;20.50;0.28;3.83;7.28;47.45
04:Q3;1.77;7.14;1.34;0.35;5.59;4.96;2.13;;04:Q3;5.04;11.98;25.90;0.35;7.33;7.40;58.00
04:Q4;1.78;7.00;1.36;0.29;6.09;4.80;2.11;;04:Q4;5.44;16.64;25.50;0.54;5.64;8.30;62.06
05:Q1;1.69;6.64;1.36;0.40;6.81;4.43;2.07;;05:Q1;4.26;12.46;22.80;0.77;6.28;8.42;54.99
05:Q2;1.68;6.36;1.37;0.43;6.83;4.11;2.03;;05:Q2;3.55;12.13;21.20;0.47;7.56;6.56;51.47
05:Q3;1.66;6.27;1.31;0.43;7.17;4.25;1.99;;05:Q3;5.19;12.23;25.40;0.36;6.54;6.04;55.76
05:Q4;1.67;5.79;1.27;0.38;6.70;4.21;1.90;;05:Q4;4.38;11.96;26.80;0.48;6.14;6.85;56.61
06:Q1;1.66;5.51;1.32;0.31;6.68;4.15;1.89;;06:Q1;4.16;11.14;28.90;0.54;7.39;5.57;57.70
06:Q2;1.79;5.61;1.31;0.48;7.12;4.00;1.92;;06:Q2;4.62;13.16;23.90;1.53;7.95;4.75;55.91
06:Q3;2.02;5.59;1.46;0.66;7.35;3.82;2.05;;06:Q3;6.91;11.85;42.60;1.46;9.25;5.75;77.82
06:Q4;2.22;5.83;1.68;0.79;7.88;3.55;2.25;;06:Q4;6.40;15.53;47.40;1.41;9.93;6.16;86.83
07:Q1;2.34;6.18;1.94;0.98;8.05;3.59;2.49;;07:Q1;5.74;12.74;62.30;1.99;9.49;5.53;97.79
07:Q2;2.36;6.36;2.40;0.99;8.11;3.93;2.85;;07:Q2;4.89;13.40;71.90;1.84;11.02;5.10;108.15
07:Q3;2.34;6.52;2.89;1.45;7.71;4.12;3.24;;07:Q3;6.92;13.76;95.20;3.77;9.93;4.83;134.41
07:Q4;2.44;6.75;3.68;1.82;7.85;4.61;3.89;;07:Q4;7.15;15.64;127.00;3.88;11.11;5.21;169.99
08:Q1;2.71;7.27;4.71;2.41;7.72;5.07;4.75;;08:Q1;7.31;18.82;152.00;5.65;11.19;5.63;200.60
08:Q2;2.85;7.66;5.32;2.98;7.32;5.19;5.26;;08:Q2;6.70;21.40;131.00;5.64;10.67;6.49;181.90
08:Q3;3.15;8.13;6.04;3.35;7.57;6.34;5.91;;08:Q3;8.62;18.02;170.00;7.78;11.23;6.60;222.25
08:Q4;3.29;8.70;6.65;4.15;7.38;7.06;6.47;;08:Q4;8.14;21.37;189.00;10.00;12.75;6.72;247.98
09:Q1;3.36;9.56;7.39;4.74;7.32;7.65;7.12;;09:Q1;7.98;25.19;226.00;10.50;13.39;7.68;290.74
09:Q2;3.48;10.20;8.26;4.98;7.61;8.08;7.85;;09:Q2;6.55;21.23;208.00;8.32;13.52;6.42;264.04
09:Q3;3.34;10.51;8.35;5.05;7.65;7.77;7.93;;09:Q3;7.61;19.82;165.00;8.15;13.92;9.86;224.36
09:Q4;3.24;10.96;8.30;4.54;7.93;7.72;7.90;;09:Q4;7.09;22.98;184.00;6.40;14.54;9.33;244.34
10:Q1;3.10;10.80;7.70;3.96;8.20;7.50;7.41;;10:Q1;6.63;22.39;178.00;6.17;15.15;9.75;238.09
10:Q2;2.85;10.63;6.95;3.78;8.63;7.30;6.85;;10:Q2;4.70;18.30;148.00;6.81;17.10;7.69;202.60
10:Q3;2.55;10.23;6.49;3.26;8.69;6.88;6.43;;10:Q3;4.71;14.60;141.50;5.12;16.58;8.35;190.86
10:Q4;2.31;9.21;5.84;3.12;8.46;6.51;5.84;;10:Q4;7.72;15.62;137.20;5.64;16.18;8.59;190.95
11:Q1;2.03;7.99;5.29;3.00;8.49;5.91;5.34;;11:Q1;4.08;13.06;124.70;5.19;17.07;9.08;173.18
11:Q2;1.86;6.90;4.83;2.70;8.60;5.61;4.91;;11:Q2;3.62;10.77;93.30;4.29;17.78;7.45;137.21
11:Q3;1.81;6.26;4.64;2.97;8.87;5.11;4.77;;11:Q3;4.59;10.57;109.60;6.68;18.00;9.85;159.29
11:Q4;1.69;5.87;4.58;3.06;9.31;4.64;4.72;;11:Q4;3.80;12.72;111.54;5.41;20.41;7.38;161.26
12:Q1;1.63;5.41;4.41;2.77;9.39;4.37;4.55;;12:Q1;3.54;9.52;103.51;4.40;20.50;5.49;146.96
12:Q2;1.60;5.19;4.18;2.70;9.84;4.06;4.41;;12:Q2;2.87;9.84;82.27;3.98;24.92;7.42;131.30
12:Q3;1.52;4.85;3.88;2.40;10.31;3.98;4.19;;12:Q3;4.26;8.42;80.88;3.78;30.35;9.08;136.77
12:Q4;1.52;4.51;3.48;1.87;10.28;3.89;3.86;;12:Q4;4.29;10.83;90.80;1.97;28.61;5.33;141.83
13:Q1;1.57;4.41;3.18;1.81;10.54;3.99;3.67;;13:Q1;4.01;7.85;78.16;2.59;21.49;4.07;118.17
13:Q2;1.63;4.28;2.99;1.65;9.95;4.03;3.49;;13:Q2;3.43;8.44;67.27;2.70;23.90;5.05;110.79
13:Q3;1.63;4.03;2.74;1.48;9.78;3.91;3.28;;13:Q3;4.06;6.34;66.50;3.75;28.51;4.58;113.74
13:Q4;1.58;3.91;2.54;1.51;10.21;3.93;3.17;;13:Q4;4.25;9.04;74.95;2.08;26.87;5.26;122.45
