;proportion of consumers with collection;average collection amount per person with item
03:Q1;9.8;901
03:Q2;9.3;867
03:Q3;9.0;995
03:Q4;9.3;972
04:Q1;10.6;1,012
04:Q2;11.7;1,046
04:Q3;11.8;1,060
04:Q4;12.2;1,068
05:Q1;12.4;1,059
05:Q2;12.4;1,079
05:Q3;12.8;1,137
05:Q4;12.5;1,149
06:Q1;12.3;1,198
06:Q2;12.4;1,170
06:Q3;12.5;1,157
06:Q4;12.8;1,165
07:Q1;12.6;1,231
07:Q2;12.5;1,297
07:Q3;12.6;1,315
07:Q4;12.8;1,301
08:Q1;13.1;1,340
08:Q2;12.9;1,342
08:Q3;12.9;1,337
08:Q4;13.2;1,318
09:Q1;13.7;1,313
09:Q2;13.8;1,315
09:Q3;13.7;1,320
09:Q4;14.0;1,379
10:Q1;14.2;1,367
10:Q2;14.2;1,427
10:Q3;14.2;1,429
10:Q4;14.1;1,367
11:Q1;14.0;1,386
11:Q2;14.4;1,389
11:Q3;14.3;1,416
11:Q4;14.3;1,437
12:Q1;14.3;1,497
12:Q2;14.3;1,550
12:Q3;14.00;1,546
12:Q4;14.63;1,499
13:Q1;14.64;1,433
13:Q2;14.60;1,409
13:Q3;13.83;1,458
13:Q4;13.88;1,520
14:Q1;14.28;1,518
14:Q2;14.31;1,503
14:Q3;13.94;1,454
14:Q4;13.48;1,430
15:Q1;13.57;1,376
15:Q2;13.91;1,391
15:Q3;13.64;1,350
15:Q4;13.52;1,353
16:Q1;12.84;1,308
16:Q2;12.57;1,310
16:Q3;12.65;1,327
16:Q4;12.26;1,343
17:Q1;12.61;1,326
17:Q2;12.45;1,387
17:Q3;12.29;1,340
17:Q4;10.70;1,309
18:Q1;9.52;1,337
18:Q2;9.42;1,386
18:Q3;9.38;1,422
18:Q4;9.34;1,406
19:Q1;9.20;1,390
19:Q2;9.33;1,415
19:Q3;8.97;1,455
19:Q4;9.08;1,452
