quarter;18-29;30-39;40-49;50-59;60-69;70+
00:Q1;16.0;24.4;23.7;16.5;6.2;3.8
00:Q2;16.4;24.5;23.0;15.4;6.0;3.2
00:Q3;16.9;24.4;20.5;14.2;5.6;2.9
00:Q4;18.3;23.5;24.4;16.2;6.1;2.9
01:Q1;21.1;29.4;26.0;18.4;6.8;3.4
01:Q2;15.4;21.8;20.7;13.6;5.4;2.7
01:Q3;18.8;26.1;26.1;17.5;6.9;3.5
01:Q4;20.3;29.2;28.0;19.7;7.5;3.5
02:Q1;16.6;28.6;28.3;21.6;9.4;4.6
02:Q2;16.9;25.5;24.7;17.4;7.8;2.9
02:Q3;18.3;29.0;26.9;18.5;7.0;3.7
02:Q4;17.9;26.6;25.7;19.5;7.4;3.1
03:Q1;17.3;28.3;31.7;21.8;8.8;3.6
03:Q2;15.8;25.0;24.1;18.2;7.6;3.1
03:Q3;23.0;39.6;40.9;30.1;11.9;5.3
03:Q4;21.2;28.9;30.2;21.7;9.2;4.2
04:Q1;16.6;28.3;29.0;22.5;8.3;3.6
04:Q2;24.2;28.2;29.1;21.2;9.1;3.6
04:Q3;20.4;28.7;29.9;21.9;8.4;3.6
04:Q4;20.1;27.7;27.9;19.9;9.6;3.2
05:Q1;16.6;25.1;25.8;18.7;8.8;3.9
05:Q2;23.8;37.4;39.2;29.8;13.6;5.5
05:Q3;25.4;43.6;40.3;32.4;13.0;3.5
05:Q4;19.0;29.8;28.6;19.6;8.6;3.2
06:Q1;17.5;24.0;26.6;20.1;8.8;3.3
06:Q2;20.3;30.4;29.2;20.8;9.1;3.8
06:Q3;24.5;30.5;32.6;23.5;11.9;4.4
06:Q4;20.1;25.4;26.7;20.0;8.9;3.5
07:Q1;16.8;23.7;22.6;18.2;8.3;3.4
07:Q2;20.9;26.9;26.2;20.4;9.9;3.6
07:Q3;21.5;25.9;29.0;22.7;10.2;4.0
07:Q4;18.8;24.2;23.8;18.6;9.6;3.6
08:Q1;15.9;22.2;23.3;17.0;8.4;3.2
08:Q2;17.8;24.2;23.1;19.1;9.0;4.1
08:Q3;17.6;21.7;22.5;18.9;9.3;3.6
08:Q4;13.5;16.6;18.3;14.3;7.8;2.8
09:Q1;10.5;15.1;15.2;14.0;7.2;3.5
09:Q2;11.0;15.4;16.9;14.3;8.6;3.6
09:Q3;12.3;16.6;19.8;18.1;10.1;3.8
09:Q4;10.8;15.0;15.2;14.4;8.1;2.9
10:Q1;8.6;14.8;16.5;13.5;8.2;3.1
10:Q2;13.1;19.5;19.7;18.0;9.7;3.2
10:Q3;13.6;19.7;21.7;18.8;11.4;3.9
10:Q4;12.6;17.6;18.5;15.6;10.3;4.1
11:Q1;11.2;18.2;19.2;16.5;9.5;3.6
11:Q2;13.2;20.1;21.8;19.2;12.0;4.8
11:Q3;15.5;21.9;24.0;20.3;11.9;4.3
11:Q4;14.3;18.1;23.5;16.8;10.9;4.3
12:Q1;12.6;19.1;21.6;19.8;11.3;4.5
12:Q2;15.5;23.6;23.6;21.7;12.3;4.5
12:Q3;15.7;24.0;26.0;22.2;12.9;5.3
12:Q4;18.5;23.2;26.4;23.1;13.0;4.9
13:Q1;13.9;22.6;23.4;20.3;13.1;5.6
13:Q2;17.0;26.9;26.4;23.6;15.3;6.0
13:Q3;22.0;26.0;29.9;26.8;15.7;6.3
13:Q4;18.7;23.9;25.0;22.6;13.5;5.4
14:Q1;16.6;22.8;26.5;23.0;13.7;6.0
14:Q2;19.4;29.1;28.3;25.1;16.0;7.1
14:Q3;21.8;30.1;29.4;27.2;17.1;6.6
14:Q4;20.2;27.4;28.2;25.3;15.0;6.4
15:Q1;16.9;26.0;28.1;25.4;13.8;6.3
15:Q2;24.7;33.0;33.4;27.6;18.4;8.1
15:Q3;25.9;32.0;35.2;30.1;19.8;7.9
15:Q4;21.8;28.0;30.3;26.6;17.0;7.1
16:Q1;19.2;28.0;26.6;25.5;17.6;7.3
16:Q2;23.4;33.0;33.6;30.6;18.5;8.7
16:Q3;24.0;33.1;33.9;30.3;18.9;9.0
16:Q4;21.4;30.4;30.4;29.4;22.5;7.7
17:Q1;19.9;28.0;30.1;27.0;18.6;8.6
17:Q2;23.9;31.6;33.1;28.8;19.3;9.7
17:Q3;24.1;33.9;34.0;31.3;18.5;8.7
17:Q4;22.2;30.7;30.6;27.6;18.5;8.8
18:Q1;20.1;28.9;29.0;26.2;16.5;9.6
18:Q2;22.6;33.6;34.0;29.7;19.5;10.5
18:Q3;26.0;35.1;35.3;31.5;19.1;9.2
18:Q4;22.3;31.8;33.5;28.5;18.4;9.1
19:Q1;19.6;29.9;30.8;29.3;18.5;9.1
19:Q2;25.6;33.1;36.3;29.6;18.7;11.0
19:Q3;25.6;33.9;35.2;33.1;20.1;10.2
19:Q4;25.3;33.2;35.7;31.0;20.3;10.2
