quarter;18-29;30-39;40-49;50-59;60-69;70+;all
00:Q1; 4.23 ; 2.09 ; 1.64 ; 1.41 ; 1.13 ; 1.86 ; 1.89 
00:Q2; 4.59 ; 2.15 ; 1.61 ; 1.40 ; 1.10 ; 2.18 ; 1.93 
00:Q3; 4.45 ; 2.16 ; 1.55 ; 1.32 ; 1.03 ; 2.11 ; 1.88 
00:Q4; 4.61 ; 2.29 ; 1.74 ; 1.41 ; 1.14 ; 2.33 ; 2.01 
01:Q1; 4.85 ; 2.34 ; 1.79 ; 1.50 ; 1.15 ; 2.42 ; 2.08 
01:Q2; 4.87 ; 2.51 ; 1.96 ; 1.52 ; 1.21 ; 2.34 ; 2.18 
01:Q3; 5.43 ; 2.74 ; 2.12 ; 1.64 ; 1.35 ; 2.41 ; 2.37 
01:Q4; 5.73 ; 2.88 ; 2.11 ; 1.73 ; 1.54 ; 2.26 ; 2.44 
02:Q1; 5.84 ; 2.94 ; 2.28 ; 1.76 ; 1.87 ; 2.37 ; 2.55 
02:Q2; 5.78 ; 2.86 ; 2.28 ; 1.90 ; 1.91 ; 2.05 ; 2.55 
02:Q3; 5.66 ; 2.77 ; 2.32 ; 1.95 ; 1.95 ; 2.19 ; 2.55 
02:Q4; 5.55 ; 2.75 ; 2.44 ; 1.94 ; 1.81 ; 2.56 ; 2.57 
03:Q1; 5.56 ; 2.76 ; 2.33 ; 1.98 ; 1.57 ; 2.57 ; 2.54 
03:Q2; 5.32 ; 2.88 ; 2.38 ; 1.93 ; 1.79 ; 2.81 ; 2.59 
03:Q3; 4.85 ; 2.86 ; 2.35 ; 1.90 ; 1.84 ; 2.81 ; 2.54 
03:Q4; 4.49 ; 2.78 ; 2.22 ; 1.83 ; 1.81 ; 2.69 ; 2.43 
04:Q1; 3.93 ; 2.60 ; 2.16 ; 1.72 ; 1.66 ; 2.37 ; 2.27 
04:Q2; 3.86 ; 2.46 ; 2.07 ; 1.62 ; 1.44 ; 2.23 ; 2.15 
04:Q3; 3.80 ; 2.44 ; 2.08 ; 1.59 ; 1.44 ; 2.23 ; 2.13 
04:Q4; 3.73 ; 2.45 ; 2.03 ; 1.63 ; 1.41 ; 1.98 ; 2.11 
05:Q1; 3.91 ; 2.42 ; 1.91 ; 1.59 ; 1.35 ; 2.21 ; 2.07 
05:Q2; 3.77 ; 2.41 ; 1.80 ; 1.59 ; 1.41 ; 2.17 ; 2.03 
05:Q3; 3.80 ; 2.40 ; 1.72 ; 1.56 ; 1.31 ; 2.26 ; 1.99 
05:Q4; 3.65 ; 2.30 ; 1.65 ; 1.41 ; 1.27 ; 2.17 ; 1.90 
06:Q1; 3.57 ; 2.33 ; 1.69 ; 1.34 ; 1.36 ; 2.02 ; 1.89 
06:Q2; 3.83 ; 2.34 ; 1.72 ; 1.34 ; 1.28 ; 2.13 ; 1.92 
06:Q3; 4.08 ; 2.65 ; 1.88 ; 1.36 ; 1.21 ; 1.96 ; 2.05 
06:Q4; 4.37 ; 2.77 ; 2.15 ; 1.60 ; 1.28 ; 2.00 ; 2.25 
07:Q1; 4.81 ; 2.98 ; 2.36 ; 1.88 ; 1.42 ; 2.18 ; 2.49 
07:Q2; 5.36 ; 3.47 ; 2.72 ; 2.16 ; 1.67 ; 2.52 ; 2.85 
07:Q3; 5.56 ; 4.01 ; 3.00 ; 2.55 ; 2.14 ; 2.94 ; 3.24 
07:Q4; 6.48 ; 5.06 ; 3.67 ; 2.83 ; 2.56 ; 3.12 ; 3.87 
08:Q1; 7.00 ; 6.55 ; 4.57 ; 3.30 ; 3.25 ; 3.47 ; 4.73 
08:Q2; 7.33 ; 7.36 ; 5.10 ; 3.84 ; 3.45 ; 3.37 ; 5.24 
08:Q3; 8.26 ; 7.84 ; 5.97 ; 4.63 ; 3.72 ; 3.47 ; 5.89 
08:Q4; 8.64 ; 8.57 ; 6.58 ; 5.20 ; 4.06 ; 4.40 ; 6.47 
09:Q1; 9.12 ; 8.82 ; 7.42 ; 6.33 ; 4.31 ; 4.91 ; 7.12 
09:Q2; 9.47 ; 9.42 ; 8.49 ; 6.96 ; 4.94 ; 5.94 ; 7.85 
09:Q3; 8.92 ; 9.63 ; 8.77 ; 6.88 ; 5.07 ; 5.99 ; 7.93 
09:Q4; 8.50 ; 9.65 ; 8.74 ; 7.06 ; 5.06 ; 5.67 ; 7.90 
10:Q1; 7.81 ; 9.02 ; 8.16 ; 6.78 ; 4.79 ; 5.30 ; 7.41 
10:Q2; 6.95 ; 8.25 ; 7.63 ; 6.40 ; 4.43 ; 4.73 ; 6.85 
10:Q3; 6.46 ; 7.75 ; 6.98 ; 6.23 ; 4.12 ; 4.76 ; 6.43 
10:Q4; 5.70 ; 6.74 ; 6.41 ; 5.83 ; 3.91 ; 4.41 ; 5.84 
11:Q1; 5.23 ; 6.23 ; 5.91 ; 4.96 ; 3.63 ; 5.25 ; 5.34 
11:Q2; 5.09 ; 5.79 ; 5.32 ; 4.67 ; 3.32 ; 4.54 ; 4.91 
11:Q3; 4.88 ; 5.61 ; 5.31 ; 4.25 ; 3.58 ; 4.23 ; 4.77 
11:Q4; 4.95 ; 5.57 ; 5.22 ; 4.23 ; 3.49 ; 4.34 ; 4.72 
12:Q1; 4.90 ; 5.32 ; 5.07 ; 4.15 ; 3.53 ; 3.21 ; 4.56 
12:Q2; 5.12 ; 5.23 ; 4.76 ; 3.91 ; 3.41 ; 3.55 ; 4.40 
12:Q3; 5.41 ; 5.06 ; 4.36 ; 3.81 ; 3.04 ; 3.46 ; 4.18 
12:Q4; 5.53 ; 4.72 ; 4.03 ; 3.31 ; 2.89 ; 3.12 ; 3.85 
13:Q1; 5.53 ; 4.58 ; 3.79 ; 3.04 ; 2.74 ; 2.97 ; 3.66 
13:Q2; 5.18 ; 4.34 ; 3.65 ; 2.91 ; 2.65 ; 2.75 ; 3.49 
13:Q3; 4.97 ; 4.11 ; 3.43 ; 2.74 ; 2.39 ; 2.64 ; 3.28 
13:Q4; 4.83 ; 3.98 ; 3.23 ; 2.82 ; 2.18 ; 2.48 ; 3.17 
14:Q1; 4.80 ; 3.84 ; 3.01 ; 2.75 ; 2.06 ; 2.32 ; 3.03 
14:Q2; 4.89 ; 3.68 ; 2.97 ; 2.50 ; 1.91 ; 2.05 ; 2.89 
14:Q3; 4.89 ; 3.52 ; 2.86 ; 2.40 ; 1.90 ; 1.77 ; 2.79 
14:Q4; 4.83 ; 3.49 ; 2.79 ; 2.31 ; 1.77 ; 1.76 ; 2.71 
15:Q1; 4.82 ; 3.40 ; 2.75 ; 2.34 ; 1.41 ; 1.68 ; 2.63 
15:Q2; 4.81 ; 3.40 ; 2.72 ; 2.36 ; 1.36 ; 1.74 ; 2.62 
15:Q3; 4.87 ; 3.41 ; 2.61 ; 2.38 ; 1.31 ; 1.93 ; 2.60 
15:Q4; 4.99 ; 3.27 ; 2.72 ; 2.18 ; 1.24 ; 1.75 ; 2.54 
16:Q1; 4.91 ; 3.19 ; 2.66 ; 2.05 ; 1.36 ; 1.67 ; 2.48 
16:Q2; 4.96 ; 3.07 ; 2.44 ; 2.04 ; 1.34 ; 1.56 ; 2.39 
16:Q3; 4.92 ; 2.92 ; 2.44 ; 1.97 ; 1.37 ; 1.34 ; 2.33 
16:Q4; 4.94 ; 2.85 ; 2.34 ; 2.11 ; 1.52 ; 1.45 ; 2.36 
17:Q1; 4.95 ; 2.94 ; 2.34 ; 2.08 ; 1.53 ; 1.48 ; 2.38 
17:Q2; 4.87 ; 3.02 ; 2.40 ; 2.09 ; 1.51 ; 1.61 ; 2.41 
17:Q3; 4.90 ; 3.08 ; 2.46 ; 2.05 ; 1.50 ; 1.60 ; 2.43 
17:Q4; 4.62 ; 2.96 ; 2.43 ; 1.92 ; 1.46 ; 1.46 ; 2.33 
18:Q1; 4.55 ; 2.84 ; 2.38 ; 1.92 ; 1.46 ; 1.58 ; 2.30 
18:Q2; 4.37 ; 2.85 ; 2.38 ; 1.99 ; 1.55 ; 1.60 ; 2.32 
18:Q3; 4.41 ; 2.90 ; 2.38 ; 2.09 ; 1.53 ; 1.75 ; 2.37 
18:Q4; 4.35 ; 2.94 ; 2.31 ; 2.18 ; 1.44 ; 1.82 ; 2.37 
19:Q1; 4.41 ; 2.99 ; 2.29 ; 2.15 ; 1.47 ; 1.57 ; 2.36 
19:Q2; 4.44 ; 3.00 ; 2.41 ; 2.08 ; 1.44 ; 1.49 ; 2.36 
19:Q3; 4.19 ; 2.77 ; 2.36 ; 2.05 ; 1.42 ; 1.32 ; 2.26 
19:Q4; 4.30 ; 2.77 ; 2.47 ; 2.06 ; 1.56 ; 1.64 ; 2.35 
