;03:Q1;03:Q2;03:Q3;03:Q4;04:Q1;04:Q2;04:Q3;04:Q4;05:Q1;05:Q2;05:Q3;05:Q4;06:Q1;06:Q2;06:Q3;06:Q4;07:Q1;07:Q2;07:Q3;07:Q4;08:Q1;08:Q2;08:Q3;08:Q4;09:Q1;09:Q2;09:Q3;09:Q4;10:Q1;10:Q2;10:Q3;10:Q4;11:Q1;11:Q2;11:Q3;11:Q4;12:Q1;12:Q2;12:Q3;12:Q4;13:Q1;13:Q2;13:Q3;13:Q4;14:Q1;14:Q2;14:Q3;14:Q4;15:Q1;15:Q2;15:Q3;15:Q4;16:Q1;16:Q2;16:Q3;16:Q4;17:Q1;17:Q2;17:Q3;17:Q4;18:Q1;18:Q2;18:Q3;18:Q4;19:Q1;19:Q2;19:Q3;19:Q4
AZ;2.93;2.63;2.86;2.82;2.42;2.28;2.54;2.40;2.17;2.10;1.83;1.60;1.78;1.45;1.65;1.81;1.83;2.34;3.00;3.99;5.64;5.87;6.33;7.65;10.38;10.52;11.24;13.21;12.26;11.48;10.74;9.88;9.02;7.70;7.68;7.92;7.27;7.22;6.56;5.53;5.03;4.74;4.51;4.33;3.68;3.45;3.17;3.48;3.99;3.94;3.58;3.24;3.86;3.57;3.48;3.57;3.37;3.07;3.11;3.21;3.05;2.93;2.89;2.97;2.84;2.92;3.05;3.00
CA;1.60;1.40;1.38;1.32;1.25;1.16;1.20;1.16;1.16;1.04;1.19;1.10;1.16;1.02;1.26;1.49;1.86;2.36;3.27;4.43;5.87;6.15;7.04;8.27;10.59;12.31;11.80;12.64;12.48;11.42;10.89;10.52;9.48;8.98;8.69;8.43;7.70;7.28;6.69;6.09;5.88;5.12;4.23;3.89;3.49;3.10;3.02;3.04;3.09;2.89;2.65;2.40;2.46;2.25;2.09;2.25;2.29;2.08;2.10;1.98;1.82;1.82;1.89;1.85;1.70;1.78;1.96;2.14
FL;3.30;3.31;2.74;2.70;2.67;2.45;2.31;2.28;2.23;2.18;2.09;1.93;1.93;1.81;1.90;2.44;2.72;2.93;3.56;4.66;7.41;8.21;9.49;12.36;14.61;15.93;16.12;16.67;18.15;17.36;16.50;16.60;16.09;15.80;15.40;15.12;14.69;14.08;13.62;12.61;12.69;11.70;10.39;9.81;9.25;8.07;7.68;7.37;6.84;6.40;5.91;5.58;5.31;5.03;4.89;4.63;4.80;4.88;4.49;3.53;3.91;4.18;4.64;4.28;4.17;3.71;3.86;4.19
IL;2.31;2.42;2.14;2.30;2.17;2.00;2.27;2.42;2.20;1.77;1.98;1.86;1.94;1.96;2.32;2.59;3.02;2.78;2.91;3.35;3.17;3.80;4.37;4.73;6.07;7.02;7.97;8.35;7.92;7.83;7.21;7.21;7.56;7.28;7.58;7.80;8.16;7.57;7.47;7.64;6.73;6.43;5.83;5.79;5.34;4.63;4.39;4.24;4.07;3.89;3.88;3.91;3.55;3.67;3.47;3.69;3.48;3.30;3.00;2.87;3.06;2.91;3.09;3.09;2.87;2.95;2.85;3.02
MI;2.57;2.40;2.27;2.28;2.26;2.55;2.77;2.71;2.68;2.54;2.45;2.60;2.46;2.43;2.85;2.98;3.42;3.47;4.22;4.13;4.09;4.24;4.15;5.05;5.95;6.08;6.92;7.75;7.86;7.27;6.25;6.46;6.77;6.36;5.70;5.47;5.03;4.79;5.20;5.24;5.36;5.48;4.39;4.32;4.12;3.89;4.02;3.78;3.46;3.37;3.49;3.63;3.68;3.42;3.44;3.62;3.52;3.08;3.42;3.50;3.32;3.30;3.36;3.59;3.49;3.26;3.17;3.41
NJ;2.60;2.45;2.13;2.18;1.97;1.77;1.72;2.01;2.16;1.54;1.23;1.45;1.50;1.31;1.50;1.50;1.75;1.97;2.26;2.93;4.22;4.12;4.74;5.87;7.00;7.38;6.87;7.06;6.85;7.17;6.88;7.34;7.85;7.41;7.39;8.18;8.56;8.42;8.60;8.06;8.23;8.74;8.57;8.14;7.73;7.27;6.69;6.55;6.40;5.52;4.88;4.82;4.21;3.81;3.43;3.61;4.10;3.28;3.37;3.78;3.65;3.32;3.72;3.53;3.38;2.93;2.93;2.75
NV;2.80;3.67;3.07;3.37;3.17;2.53;2.11;1.47;1.73;1.56;1.18;1.13;1.04;2.84;2.49;2.81;2.75;2.87;2.05;3.14;6.27;7.17;10.04;12.60;12.72;14.40;16.55;14.62;15.52;19.38;17.95;15.40;22.01;18.53;17.64;17.55;17.19;17.52;14.39;15.28;12.82;12.22;11.24;7.53;7.46;8.88;7.34;5.74;6.16;5.43;7.06;4.84;4.83;4.04;3.65;3.53;3.82;3.90;4.68;3.96;4.22;4.21;3.62;3.72;3.23;3.12;3.38;3.53
NY;3.29;3.04;2.87;2.80;2.61;2.47;2.58;2.57;2.36;2.13;2.32;2.17;2.13;2.12;2.30;2.49;2.77;2.87;3.31;3.84;4.28;4.74;5.31;6.03;6.54;7.19;8.35;9.39;9.68;10.10;9.48;9.25;8.98;8.67;8.67;8.57;8.99;8.85;8.94;8.38;8.27;8.65;8.83;8.28;8.15;7.36;7.22;7.68;7.26;6.48;6.22;5.74;5.80;4.83;4.89;4.45;4.71;4.82;4.70;4.57;4.23;4.06;3.77;4.00;4.05;3.65;3.87;3.80
OH;2.69;2.68;2.83;2.93;3.14;3.10;3.29;3.33;3.27;3.01;2.94;3.34;3.17;3.18;3.03;3.40;3.55;4.27;4.69;4.90;4.67;4.47;4.58;4.57;4.61;4.85;5.14;5.16;5.64;5.52;5.36;5.38;5.68;4.91;5.18;5.78;5.47;5.49;5.54;5.53;5.47;5.57;5.24;4.80;4.75;4.82;4.64;4.30;4.60;4.34;4.29;4.33;4.40;4.28;4.34;4.60;4.48;4.23;4.27;4.37;4.42;3.98;4.30;4.15;4.12;3.92;4.02;3.95
PA;2.81;2.68;2.71;2.44;2.64;2.30;2.39;2.53;2.47;2.21;2.37;2.23;2.09;2.24;2.33;2.50;2.79;2.65;2.96;2.85;2.77;2.83;2.81;3.29;3.54;4.14;4.61;4.66;5.34;5.66;5.26;5.29;5.49;5.25;5.49;5.17;4.90;5.07;5.31;5.55;5.36;5.46;5.59;5.51;5.23;5.21;4.54;4.70;4.29;4.25;3.87;3.78;3.75;3.68;3.76;3.73;3.74;3.66;3.84;3.72;3.60;3.39;3.31;3.34;3.49;3.33;3.31;3.38
TX;3.95;3.77;3.60;3.93;3.81;3.89;3.66;3.71;3.71;3.40;3.74;3.66;3.49;3.48;3.70;3.82;4.03;3.93;4.24;4.10;4.27;4.40;4.37;4.56;4.99;5.37;5.57;6.05;6.22;6.11;5.96;5.96;5.94;5.69;5.34;5.47;5.19;5.36;5.16;5.25;4.96;4.33;4.29;4.24;4.24;4.41;4.19;4.15;4.10;4.04;3.57;3.72;3.51;3.54;3.53;3.83;3.94;3.83;3.70;3.45;3.85;3.84;3.95;3.96;4.05;3.80;3.86;3.86
ALL;2.49;2.42;2.33;2.29;2.25;2.16;2.17;2.20;2.15;1.96;1.96;1.92;1.90;1.86;2.05;2.27;2.45;2.59;2.99;3.56;4.36;4.58;5.06;5.82;6.98;7.71;7.92;8.43;8.61;8.25;7.83;7.83;7.69;7.24;7.14;7.15;6.96;6.71;6.55;6.31;6.07;5.70;5.31;5.03;4.77;4.49;4.33;4.30;4.25;3.98;3.79;3.69;3.60;3.34;3.28;3.30;3.37;3.26;3.19;3.12;3.11;3.04;3.09;3.10;3.06;2.94;3.04;3.15
