;Median;25th percentile;10th percentile;Zero
99:Q2;721;658;597;0
99:Q3;723;657;595;0
99:Q4;718;648;583;0
00:Q1;704;631;567;0
00:Q2;698;629;568;0
00:Q3;703;629;568;0
00:Q4;715;645;574;0
01:Q1;712;641;569;0
01:Q2;719;651;583;0
01:Q3;725;666;600;0
01:Q4;724;660;594;0
02:Q1;730;667;601;0
02:Q2;730;666;604;0
02:Q3;728;663;597;0
02:Q4;731;670;603;0
03:Q1;743;683;621;0
03:Q2;743;685;624;0
03:Q3;743;684;624;0
03:Q4;736;674;614;0
04:Q1;721;656;593;0
04:Q2;718;654;592;0
04:Q3;718;652;589;0
04:Q4;715;651;588;0
05:Q1;723;659;590;0
05:Q2;714;647;586;0
05:Q3;716;654;591;0
05:Q4;720;656;597;0
06:Q1;717;648;587;0
06:Q2;713;644;586;0
06:Q3;713;647;586;0
06:Q4;707;639;578;0
07:Q1;712;641;576;0
07:Q2;721;649;589;0
07:Q3;725;657;592;0
07:Q4;726;660;596.5;0
08:Q1;731;664;601;0
08:Q2;745;677;612;0
08:Q3;741;674;608;0
08:Q4;741;668;607;0
09:Q1;763;695;619;0
09:Q2;773;717;649;0
09:Q3;771;713;647;0
09:Q4;759;700;638;0
10:Q1;761;697;630;0
10:Q2;766;706;645;0
10:Q3;767;705;650;0
10:Q4;779;727;658;0
11:Q1;781;735;675;0
11:Q2;774;725;661;0
11:Q3;763;707;649;0
11:Q4;776;722;657.5;0
12:Q1;781;726;673;0
12:Q2;779;729;670;0
12:Q3;775;723;663;0
12:Q4;773;720;663;0
13:Q1;780;726;668;0
13:Q2;773;719;660;0
13:Q3;769;712;658;0
13:Q4;765;709;658;0
14:Q1;756;695.5;643;0
14:Q2;759;699;651;0
14:Q3;753;697;645;0
14:Q4;751;692;640;0
15:Q1;764;705;654;0
15:Q2;764;704;653;0
15:Q3;758;703;649;
15:Q4;753;694;642;
16:Q1;759;705;653;
16:Q2;756;699;649;
16:Q3;760;705;654;
16:Q4;763;705;655;
17:Q1;764;707;657;
17:Q2;754;700;648;
17:Q3;760;702;654;
17:Q4;755;697;645;
18:Q1;761;705;655;
18:Q2;760;706;651;
18:Q3;758;698;654;
18:Q4;758;698;649;
19:Q1;759;703;647;
19:Q2;759;701;651;
19:Q3;765;710;656;
19:Q4;770;716;661;
