;Median;25th percentile;10th percentile
99:Q2;670;605;541
99:Q3;680;611;548
99:Q4;667;597;532
00:Q1;676;608;539
00:Q2;677;604;539
00:Q3;673;600;536
00:Q4;685;616;547
01:Q1;674;597;522
01:Q2;676;600;530
01:Q3;682;609;536
01:Q4;686;610;535
02:Q1;695;618;542
02:Q2;684;610;540
02:Q3;681;607;537
02:Q4;690;619;548
03:Q1;689;618;550
03:Q2;689;619;556
03:Q3;699;627;558
03:Q4;694;624;556
04:Q1;674;599;536
04:Q2;687;619;556
04:Q3;685;614;552
04:Q4;689;613;554
05:Q1;685;609;549
05:Q2;688;611;553
05:Q3;685;611;550
05:Q4;674;604;545
06:Q1;678;604;545
06:Q2;675;602;547
06:Q3;682;606;549
06:Q4;683;607;546
07:Q1;678;602;545
07:Q2;678;603;543
07:Q3;686;610;551
07:Q4;682;604;538
08:Q1;686;606;545
08:Q2;690;610;544
08:Q3;695;621;556
08:Q4;696;619;555
09:Q1;707;628;558
09:Q2;713;636;570
09:Q3;717;639;575
09:Q4;716;637;573
10:Q1;714;638;573
10:Q2;711;635;575
10:Q3;713;642;580
10:Q4;709;636;577
11:Q1;709;634;572
11:Q2;704;630;569
11:Q3;703;632;571
11:Q4;701;627;564
12:Q1;701;626;570
12:Q2;693;618;559
12:Q3;698;624;568
12:Q4;697;626;567
13:Q1;699;627;570
13:Q2;694;621;562
13:Q3;690;628;568
13:Q4;691;621;562
14:Q1;701;628;568
14:Q2;692;624;564
14:Q3;694;624;566
14:Q4;695;627;568
15:Q1;696;627;570
15:Q2;683;616;556
15:Q3;696;626;566
15:Q4;696;626;564
16:Q1;695;623;562
16:Q2;696;626;563
16:Q3;699;628;567
16:Q4;700;629;565
17:Q1;706;634;572
17:Q2;698;627;564
17:Q3;705;637;573
17:Q4;707;636;575
18:Q1;708;637;573
18:Q2;703;630;568
18:Q3;704;632;570
18:Q4;710;639;572
19:Q1;708;633;566
19:Q2;703;631;567
19:Q3;711;638;573
19:Q4;715;641;572
