;Credit Card Balance;Credit Card Available Credit;Credit Card Limit;HE Revolving Balance;HE Revolving Available Credit;HE Revolving Limit
03:Q1;0.69;1.86;2.55;;;
;;;;0.24;0.24;0.48
03:Q2;0.69;1.87;2.56;;;
;;;;0.26;0.26;0.52
03:Q3;0.69;1.86;2.55;;;
;;;;0.27;0.29;0.56
03:Q4;0.70;1.87;2.57;;;
;;;;0.30;0.30;0.60
04:Q1;0.70;1.88;2.57;;;
;;;;0.33;0.31;0.64
04:Q2;0.70;1.90;2.60;;;
;;;;0.37;0.33;0.69
04:Q3;0.71;1.89;2.60;;;
;;;;0.43;0.38;0.81
04:Q4;0.72;2.14;2.86;;;
;;;;0.47;0.41;0.87
05:Q1;0.71;2.18;2.89;;;
;;;;0.50;0.44;0.94
05:Q2;0.72;2.25;2.97;;;
;;;;0.53;0.47;1.00
05:Q3;0.73;2.33;3.06;;;
;;;;0.54;0.50;1.04
05:Q4;0.74;2.35;3.09;;;
;;;;0.57;0.58;1.14
06:Q1;0.72;2.40;3.12;;;
;;;;0.58;0.59;1.17
06:Q2;0.74;2.41;3.15;;;
;;;;0.59;0.62;1.21
06:Q3;0.75;2.38;3.13;;;
;;;;0.60;0.65;1.25
06:Q4;0.77;2.29;3.06;;;
;;;;0.60;0.67;1.27
07:Q1;0.76;2.29;3.05;;;
;;;;0.61;0.68;1.28
07:Q2;0.80;2.52;3.32;;;
;;;;0.62;0.70;1.32
07:Q3;0.82;2.57;3.39;;;
;;;;0.63;0.71;1.34
07:Q4;0.84;2.62;3.46;;;
;;;;0.65;0.72;1.37
08:Q1;0.84;2.58;3.42;;;
;;;;0.66;0.72;1.38
08:Q2;0.85;2.82;3.67;;;
;;;;0.68;0.70;1.38
08:Q3;0.86;2.84;3.70;;;
;;;;0.69;0.69;1.38
08:Q4;0.87;2.66;3.53;;;
;;;;0.71;0.67;1.37
09:Q1;0.84;2.43;3.27;;;
;;;;0.71;0.64;1.35
09:Q2;0.82;2.22;3.04;;;
;;;;0.71;0.62;1.33
09:Q3;0.81;2.12;2.93;;;
;;;;0.71;0.59;1.30
09:Q4;0.80;2.07;2.87;;;
;;;;0.71;0.57;1.28
10:Q1;0.76;2.00;2.76;;;
;;;;0.70;0.57;1.26
10:Q2;0.74;1.95;2.70;;;
;;;;0.68;0.56;1.24
10:Q3;0.73;1.95;2.68;;;
;;;;0.67;0.55;1.22
10:Q4;0.73;1.93;2.66;;;
;;;;0.67;0.53;1.20
11:Q1;0.70;2.00;2.69;;;
;;;;0.64;0.51;1.15
11:Q2;0.69;2.05;2.75;;;
;;;;0.63;0.49;1.12
11:Q3;0.69;2.03;2.72;;;
;;;;0.64;0.51;1.15
11:Q4;0.70;2.12;2.82;;;
;;;;0.63;0.51;1.14
12:Q1;0.68;2.13;2.81;;;
;;;;0.61;0.51;1.12
12:Q2;0.67;2.12;2.79;;;
;;;;0.59;0.49;1.08
12:Q3;0.67;2.11;2.78;;;
;;;;0.57;0.47;1.05
12:Q4;0.68;2.09;2.77;;;
;;;;0.56;0.49;1.05
13:Q1;0.66;2.11;2.77;;;
;;;;0.55;0.49;1.04
13:Q2;0.67;2.13;2.80;;;
;;;;0.54;0.48;1.02
13:Q3;0.67;2.16;2.84;;;
;;;;0.54;0.48;1.01
13:Q4;0.68;2.22;2.91;;;
;;;;0.53;0.47;1.00
14:Q1;0.66;2.25;2.91;;;
;;;;0.53;0.47;1.00
14:Q2;0.67;2.27;2.94;;;
;;;;0.52;0.47;0.99
14:Q3;0.68;2.29;2.97;;;
;;;;0.51;0.48;0.99
14:Q4;0.70;2.29;2.99;;;
;;;;0.51;0.48;0.99
15:Q1;0.68;2.33;3.02;;;
;;;;0.51;0.48;0.99
15:Q2;0.70;2.36;3.06;;;
;;;;0.50;0.48;0.98
15:Q3;0.71;2.39;3.11;;;
;;;;0.49;0.49;0.98
15:Q4;0.73;2.39;3.13;;;
;;;;0.49;0.48;0.97
16:Q1;0.71;2.48;3.19;;;
;;;;0.49;0.48;0.97
16:Q2;0.73;2.49;3.22;;;
;;;;0.48;0.49;0.97
16:Q3;0.75;2.52;3.27;;;
;;;;0.47;0.49;0.96
16:Q4;0.78;2.57;3.35;;;
;;;;0.47;0.49;0.96
17:Q1;0.76;2.62;3.38;;;
;;;;0.46;0.48;0.94
17:Q2;0.78;2.65;3.44;;;
;;;;0.45;0.49;0.94
17:Q3;0.81;2.68;3.49;;;
;;;;0.45;0.49;0.94
17:Q4;0.83;2.69;3.52;;;
;;;;0.44;0.49;0.94
18:Q1;0.82;2.72;3.54;;;
;;;;0.44;0.50;0.94
18:Q2;0.83;2.76;3.58;;;
;;;;0.43;0.51;0.94
18:Q3;0.84;2.79;3.63;;;
;;;;0.42;0.51;0.94
18:Q4;0.87;2.82;3.69;;;
;;;;0.41;0.52;0.93
19:Q1;0.85;2.89;3.73;;;
;;;;0.41;0.53;0.93
19:Q2;0.87;2.91;3.77;;;
;;;;0.40;0.53;0.93
19:Q3;0.88;2.92;3.80;;;
;;;;0.40;0.53;0.92
19:Q4;0.93;2.97;3.90;;;
;;;;0.39;0.52;0.91
