;Current;30 days late;60 days late;90 days late;120+ days late;Severely Derogatory;Total
03:Q1;95.1;1.8;0.6;0.3;0.8;1.5;100
03:Q2;95.3;1.6;0.5;0.3;0.8;1.4;100
03:Q3;95.4;1.6;0.5;0.3;0.8;1.3;100
03:Q4;95.5;1.6;0.5;0.3;0.7;1.4;100
04:Q1;95.7;1.5;0.5;0.2;0.7;1.3;100
04:Q2;95.7;1.5;0.5;0.2;0.7;1.3;100
04:Q3;95.7;1.5;0.5;0.2;0.7;1.3;100
04:Q4;95.7;1.5;0.5;0.2;0.7;1.3;100
05:Q1;95.9;1.5;0.4;0.2;0.7;1.3;100
05:Q2;96.2;1.4;0.4;0.2;0.6;1.2;100
05:Q3;96.0;1.5;0.5;0.2;0.7;1.1;100
05:Q4;96.1;1.4;0.5;0.2;0.6;1.1;100
06:Q1;96.2;1.4;0.5;0.2;0.6;1.1;100
06:Q2;96.0;1.5;0.5;0.2;0.6;1.1;100
06:Q3;95.7;1.6;0.6;0.3;0.7;1.1;100
06:Q4;95.3;1.8;0.6;0.3;0.7;1.3;100
07:Q1;95.1;1.8;0.6;0.4;0.8;1.4;100
07:Q2;94.7;1.9;0.8;0.4;0.9;1.4;100
07:Q3;94.1;1.9;0.9;0.4;1.0;1.6;100
07:Q4;93.3;2.1;1.0;0.6;1.2;1.8;100
08:Q1;92.6;2.1;0.9;0.7;1.6;2.1;100
08:Q2;92.3;2.1;1.0;0.5;1.6;2.5;100
08:Q3;91.5;2.3;1.1;0.7;1.9;2.6;100
08:Q4;90.2;2.5;1.4;0.8;2.3;2.8;100
09:Q1;89.3;2.3;1.3;0.9;2.9;3.3;100
09:Q2;88.9;2.1;1.2;0.9;3.2;3.7;100
09:Q3;88.5;2.2;1.3;0.8;3.6;3.6;100
09:Q4;88.1;2.1;1.2;0.9;3.9;3.7;100
10:Q1;88.2;2.0;1.0;0.7;4.3;3.7;100
10:Q2;88.7;2.0;0.9;0.7;4.0;3.7;100
10:Q3;89.0;2.0;1.0;0.7;3.6;3.7;100
10:Q4;89.3;1.8;1.0;0.6;3.5;3.7;100
11:Q1;89.6;1.8;0.9;0.6;3.3;3.8;100
11:Q2;90.2;1.6;0.9;0.5;3.3;3.4;100
11:Q3;90.0;1.9;0.9;0.6;3.2;3.4;100
11:Q4;90.3;1.7;0.8;0.5;3.3;3.3;100
12:Q1;90.7;1.5;0.7;0.5;3.2;3.3;100
12:Q2;91.0;1.6;0.7;0.4;3.4;2.9;100
12:Q3;91.1;1.7;0.7;0.4;3.1;3.0;100
12:Q4;91.4;1.6;0.7;0.4;3.0;2.8;100
13:Q1;91.9;1.4;0.6;0.4;2.9;2.7;100
13:Q2;92.4;1.3;0.6;0.3;2.7;2.7;100
13:Q3;92.6;1.4;0.7;0.3;2.4;2.6;100
13:Q4;92.9;1.4;0.7;0.4;2.3;2.4;100
14:Q1;93.4;1.3;0.6;0.3;2.1;2.3;100
14:Q2;93.8;1.2;0.5;0.3;1.9;2.3;100
14:Q3;93.8;1.4;0.6;0.3;1.8;2.2;100
14:Q4;94.0;1.1;0.6;0.3;1.8;2.2;100
15:Q1;94.3;1.0;0.5;0.3;1.8;2.2;100
15:Q2;94.4;1.2;0.5;0.3;1.7;2.0;100
15:Q3;94.4;1.3;0.5;0.3;1.5;2.0;100
15:Q4;94.6;1.2;0.5;0.3;1.5;1.9;100
16:Q1;95.0;1.0;0.4;0.3;1.4;1.9;100
16:Q2;95.2;1.1;0.4;0.2;1.2;1.9;100
16:Q3;95.1;1.2;0.5;0.3;1.2;1.8;100
16:Q4;95.2;1.1;0.5;0.3;1.1;1.9;100
17:Q1;95.2;1.1;0.4;0.3;1.2;1.9;100
17:Q2;95.2;1.1;0.5;0.2;1.1;1.9;100
17:Q3;95.2;1.3;0.5;0.3;1.0;1.9;100
17:Q4;95.3;1.2;0.5;0.3;0.9;1.9;100
18:Q1;95.4;1.1;0.4;0.3;0.9;2.0;100
18:Q2;95.5;1.1;0.4;0.3;0.8;1.9;100
18:Q3;95.3;1.2;0.5;0.3;0.9;1.9;100
18:Q4;95.4;1.2;0.4;0.3;0.9;1.9;100
19:Q1;95.4;1.1;0.4;0.3;0.8;2.0;100
19:Q2;95.6;1.1;0.4;0.3;0.7;2.0;100
19:Q3;95.2;1.2;0.5;0.3;0.8;2.0;100
19:Q4;95.3;1.1;0.5;0.3;0.8;2.0;100
