;MORTGAGE;HELOC;AUTO;CC;STUDENT LOAN;OTHER;ALL
03:Q1;1.21;0.35;2.33;8.84;6.13;7.23;2.57
03:Q2;1.14;0.28;2.26;8.90;6.14;7.13;2.49
03:Q3;1.10;0.22;2.16;8.67;6.27;6.88;2.39
03:Q4;1.06;0.31;2.16;9.24;6.23;7.47;2.35
04:Q1;1.01;0.21;2.32;9.27;6.34;7.68;2.31
04:Q2;1.00;0.15;2.17;8.85;6.38;7.74;2.22
04:Q3;1.08;0.18;2.27;8.65;6.50;7.48;2.24
04:Q4;1.08;0.21;2.42;9.18;6.32;7.01;2.26
05:Q1;1.01;0.25;2.38;9.59;6.03;7.25;2.21
05:Q2;0.87;0.24;1.99;9.23;6.71;6.17;2.02
05:Q3;0.91;0.20;2.03;9.07;6.99;5.96;2.02
05:Q4;0.93;0.16;2.09;8.53;6.59;5.94;1.97
06:Q1;0.92;0.17;2.15;8.82;6.39;5.85;1.95
06:Q2;0.86;0.39;2.22;8.96;6.66;5.55;1.91
06:Q3;1.07;0.50;2.58;9.19;7.16;5.11;2.11
06:Q4;1.31;0.61;2.62;9.66;7.14;5.46;2.33
07:Q1;1.56;0.65;2.59;9.74;6.85;5.74;2.50
07:Q2;1.76;0.77;2.54;9.38;7.29;5.91;2.66
07:Q3;2.23;1.20;2.76;9.34;7.59;6.14;3.06
07:Q4;2.93;1.32;3.05;9.48;7.51;6.20;3.62
08:Q1;3.94;1.86;3.22;9.49;7.38;6.83;4.41
08:Q2;4.16;2.21;3.26;10.15;7.55;6.85;4.64
08:Q3;4.73;2.66;3.64;9.48;7.55;7.62;5.11
08:Q4;5.59;3.33;3.94;10.18;7.82;8.58;5.89
09:Q1;6.97;3.77;4.35;11.44;7.88;9.27;7.05
09:Q2;7.93;3.97;4.47;11.74;8.26;8.74;7.80
09:Q3;8.17;4.18;4.68;11.90;8.45;9.06;8.02
09:Q4;8.75;4.37;4.92;12.70;8.66;9.22;8.54
10:Q1;8.89;4.05;5.01;13.73;8.66;9.94;8.71
10:Q2;8.36;4.29;4.84;13.74;8.95;10.28;8.35
10:Q3;7.82;4.23;4.83;13.16;9.17;11.30;7.95
10:Q4;7.61;4.29;5.27;13.27;9.12;10.83;7.83
11:Q1;7.46;4.66;5.09;13.12;8.96;10.64;7.69
11:Q2;6.91;4.66;4.99;12.16;9.09;10.40;7.24
11:Q3;6.83;4.70;5.03;11.50;8.84;10.69;7.14
11:Q4;6.89;4.71;4.82;11.48;8.45;10.51;7.14
12:Q1;6.67;4.69;4.55;11.27;8.69;10.24;6.96
12:Q2;6.33;4.92;4.24;10.90;8.92;10.24;6.71
12:Q3;5.90;4.93;4.25;10.45;11.00;9.83;6.55
12:Q4;5.58;3.48;4.03;10.57;11.73;9.62;6.31
13:Q1;5.35;3.22;3.92;10.21;11.19;9.83;6.07
13:Q2;4.94;3.00;3.57;9.99;10.90;9.54;5.70
13:Q3;4.31;3.51;3.37;9.36;11.83;8.97;5.31
13:Q4;3.93;3.19;3.35;9.45;11.51;8.94;5.03
14:Q1;3.72;3.37;3.32;8.51;11.01;8.66;4.77
14:Q2;3.39;3.33;3.27;7.83;10.92;8.17;4.49
14:Q3;3.18;3.34;3.14;7.46;11.09;8.00;4.33
14:Q4;3.07;3.16;3.47;7.31;11.32;7.90;4.30
15:Q1;2.95;3.04;3.34;8.38;11.06;7.95;4.25
15:Q2;2.51;3.24;3.36;8.39;11.45;7.26;3.98
15:Q3;2.32;2.44;3.36;8.21;11.56;7.00;3.79
15:Q4;2.18;2.24;3.37;7.65;11.52;7.02;3.69
16:Q1;2.08;2.19;3.52;7.60;11.04;7.89;3.60
16:Q2;1.76;1.96;3.46;7.17;11.06;7.22;3.34
16:Q3;1.63;2.03;3.58;7.08;10.94;7.13;3.28
16:Q4;1.57;2.13;3.75;7.14;11.17;7.00;3.30
17:Q1;1.67;2.06;3.82;7.45;10.98;7.22;3.37
17:Q2;1.47;1.88;3.92;7.38;11.22;6.91;3.26
17:Q3;1.38;1.53;3.97;7.47;11.17;6.66;3.19
17:Q4;1.27;1.67;4.05;7.55;10.96;6.78;3.12
18:Q1;1.22;1.51;4.26;8.01;10.66;7.12;3.11
18:Q2;1.11;1.56;4.17;7.88;10.94;7.05;3.04
18:Q3;1.06;1.20;4.27;7.94;11.53;7.15;3.09
18:Q4;1.06;1.16;4.47;7.77;11.42;6.96;3.10
19:Q1;1.00;1.25;4.69;8.32;10.85;7.19;3.06
19:Q2;0.87;1.10;4.64;8.32;10.83;7.16;2.94
19:Q3;0.97;1.13;4.71;8.27;10.90;7.07;3.04
19:Q4;1.07;0.84;4.94;8.36;11.06;6.98;3.15
