;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;Total;;;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;
03:Q1;8.57;12.32;5.38;2.94;;8.88;6.64;;03:Q1;14.52;22.58;82.20;1.44;6.15;12.51;
03:Q2;8.50;12.27;5.54;2.68;;9.13;6.73;;03:Q2;13.04;22.38;73.60;1.60;4.83;13.31;
03:Q3;8.03;11.74;5.27;2.53;;9.05;6.39;;03:Q3;14.73;18.90;76.90;1.52;4.48;11.79;
03:Q4;7.79;11.56;5.27;2.03;;8.80;6.27;;03:Q4;15.10;25.22;79.70;1.26;4.75;12.71;Total
04:Q1;7.42;10.89;5.05;1.93;7.61;8.94;5.96;;04:Q1;13.96;18.68;77.90;1.19;5.62;12.25;139.40
04:Q2;7.29;10.48;5.07;1.98;7.20;8.72;5.87;;04:Q2;13.75;16.84;86.20;1.86;5.07;9.79;128.76
04:Q3;7.19;10.20;5.00;1.84;7.28;8.47;5.74;;04:Q3;15.57;17.02;88.20;1.85;8.71;9.98;128.32
04:Q4;6.98;9.85;4.88;2.08;7.61;8.28;5.58;;04:Q4;15.10;21.53;89.50;2.44;6.68;10.59;138.74
05:Q1;6.78;9.35;4.75;2.14;8.17;8.12;5.42;;05:Q1;12.01;16.06;82.70;2.38;8.43;9.85;129.60
05:Q2;6.69;9.10;4.64;2.04;8.47;8.00;5.29;;05:Q2;13.92;17.23;86.80;2.27;9.28;8.50;133.51
05:Q3;7.13;9.25;4.69;2.03;9.05;8.28;5.39;;05:Q3;19.67;19.02;92.10;2.09;8.33;9.62;141.33
05:Q4;7.34;8.63;4.68;1.84;8.88;8.26;5.32;;05:Q4;16.59;15.86;97.70;2.81;7.44;9.89;145.84
06:Q1;7.66;8.58;4.73;1.93;8.82;8.12;5.37;;06:Q1;14.81;16.41;99.70;3.44;9.46;9.73;131.43
06:Q2;8.21;8.45;4.85;2.34;9.16;7.94;5.51;;06:Q2;18.11;16.98;113.00;5.19;10.11;9.51;138.00
06:Q3;8.32;8.38;5.03;2.64;9.22;7.62;5.64;;06:Q3;20.92;18.33;131.00;4.31;11.20;8.20;150.83
06:Q4;8.69;8.76;5.45;2.85;9.75;7.43;6.01;;06:Q4;20.01;20.52;144.00;4.39;12.07;9.34;150.29
07:Q1;8.76;9.05;5.99;3.23;9.87;7.39;6.44;;07:Q1;16.08;17.71;165.00;6.73;12.39;9.12;153.55
07:Q2;8.84;9.32;6.46;3.30;10.00;7.48;6.82;;07:Q2;18.99;18.43;175.00;6.37;13.44;10.07;172.90
07:Q3;9.13;9.29;7.09;3.63;9.82;7.99;7.32;;07:Q3;22.89;19.77;202.00;6.85;12.49;11.19;193.96
07:Q4;9.41;9.70;7.99;4.30;9.82;8.87;8.10;;07:Q4;21.53;22.71;231.00;8.08;12.82;12.07;210.33
08:Q1;9.73;10.13;8.72;4.87;9.85;9.75;8.75;;08:Q1;17.72;23.20;225.00;10.10;13.93;13.18;227.03
08:Q2;9.94;10.43;9.50;5.67;9.28;10.35;9.40;;08:Q2;21.23;25.67;233.00;11.40;13.41;11.08;242.30
08:Q3;10.18;10.95;10.26;6.64;9.55;11.62;10.11;;08:Q3;23.46;24.45;266.00;13.90;14.18;15.08;275.19
08:Q4;10.47;11.84;11.21;7.32;9.38;12.32;10.93;;08:Q4;23.08;30.42;312.00;14.10;15.60;14.56;308.21
09:Q1;10.62;12.65;11.94;7.53;9.34;12.21;11.53;;09:Q1;18.29;28.97;284.00;12.20;17.01;16.97;303.13
09:Q2;10.85;13.36;12.40;7.58;9.79;12.43;11.95;;09:Q2;20.81;25.33;268.00;13.20;16.97;11.73;315.79
09:Q3;10.80;13.77;12.44;7.12;9.71;11.85;11.95;;09:Q3;21.64;26.12;250.00;10.90;16.22;11.67;357.07
09:Q4;10.46;13.78;11.66;6.60;10.18;12.02;11.35;;09:Q4;18.61;28.29;233.00;10.70;17.76;14.02;409.76
10:Q1;10.22;13.26;11.06;6.14;10.36;11.82;10.83;;10:Q1;15.21;23.28;237.10;9.15;18.76;11.46;377.44
10:Q2;9.55;12.93;10.32;5.59;10.70;11.40;10.20;;10:Q2;15.14;20.98;207.9;8.81;20.919;9.78;356.04
10:Q3;8.74;12.11;9.71;5.33;10.85;11.21;9.65;;10:Q3;14.65;17.59;215.7;9.42;19.805;13.86;336.55
10:Q4;8.20;10.74;9.09;5.06;10.45;10.11;9.01;;10:Q4;17.19;18.27;202.40;8.85;19.39;9.62;322.38
11:Q1;7.63;9.71;8.64;4.82;10.58;9.38;8.56;;11:Q1;11.00;15.29;192.80;7.54;21.33;7.80;314.96
11:Q2;7.05;8.58;8.21;4.56;10.35;9.04;8.11;;11:Q2;11.51;13.25;155.99;6.57;20.88;10.10;283.53
11:Q3;7.03;8.08;8.20;4.76;10.60;8.22;8.09;;11:Q3;15.03;14.38;192.83;11.18;21.78;11.77;291.03
11:Q4;6.77;7.64;8.02;4.39;10.64;7.90;7.89;;11:Q4;12.91;15.09;167.23;5.78;21.39;8.94;275.72
12:Q1;6.67;7.24;7.57;4.35;10.36;7.54;7.51;;12:Q1;10.53;12.19;148.72;7.69;23.25;5.50;255.76
12:Q2;6.73;6.95;7.31;4.31;10.91;7.26;7.35;;12:Q2;12.04;11.65;141.06;6.17;27.14;7.26;218.30
12:Q3;6.41;6.58;6.69;3.42;11.12;7.26;6.84;;12:Q3;13.70;12.10;140.29;4.02;33.17;7.39;266.97
