;To 30-60 days late;To 90+ days late
03:Q1;1.55;0.19
03:Q2;1.42;0.20
03:Q3;1.33;0.16
03:Q4;1.34;0.23
04:Q1;1.32;0.18
04:Q2;1.34;0.15
04:Q3;1.35;0.14
04:Q4;1.31;0.20
05:Q1;1.19;0.10
05:Q2;1.22;0.18
05:Q3;1.36;0.15
05:Q4;1.32;0.22
06:Q1;1.23;0.13
06:Q2;1.44;0.09
06:Q3;1.48;0.18
06:Q4;1.73;0.17
07:Q1;1.64;0.24
07:Q2;1.74;0.22
07:Q3;1.91;0.35
07:Q4;2.27;0.43
08:Q1;2.01;0.53
08:Q2;2.24;0.52
08:Q3;2.55;0.55
08:Q4;3.05;0.66
09:Q1;2.77;0.66
09:Q2;2.50;0.75
09:Q3;2.74;0.53
09:Q4;2.42;0.74
10:Q1;2.28;0.63
10:Q2;2.04;0.53
10:Q3;2.12;0.59
10:Q4;1.90;0.52
11:Q1;1.84;0.54
11:Q2;1.67;0.48
11:Q3;2.12;0.42
11:Q4;1.72;0.48
12:Q1;1.40;0.43
12:Q2;1.46;0.36
12:Q3;1.52;0.35
12:Q4;1.42;0.38
13:Q1;1.28;0.29
13:Q2;1.17;0.35
13:Q3;1.35;0.22
13:Q4;1.25;0.23
14:Q1;0.97;0.23
14:Q2;0.95;0.22
14:Q3;1.15;0.21
14:Q4;0.95;0.22
15:Q1;0.85;0.13
15:Q2;1.01;0.19
15:Q3;1.00;0.18
15:Q4;0.91;0.19
16:Q1;0.71;0.18
16:Q2;0.78;0.12
16:Q3;1.02;0.16
16:Q4;0.86;0.16
17:Q1;0.84;0.14
17:Q2;0.83;0.15
17:Q3;0.92;0.11
17:Q4;0.81;0.11
18:Q1;0.81;0.14
18:Q2;0.82;0.19
18:Q3;1.01;0.20
18:Q4;0.83;0.13
19:Q1;0.79;0.14
19:Q2;0.78;0.18
19:Q3;1.02;0.14
19:Q4;0.88;0.15
