;foreclosure;bankruptcy
03:Q1;203.32;612.26
03:Q2;169.90;628.66
03:Q3;178.16;542.44
03:Q4;193.24;516.02
04:Q1;186.06;534.90
04:Q2;171.44;579.32
04:Q3;168.80;530.52
04:Q4;184.14;572.92
05:Q1;171.52;462.08
05:Q2;148.78;662.50
05:Q3;157.90;667.92
05:Q4;166.72;948.62
06:Q1;172.86;213.86
06:Q2;179.42;250.96
06:Q3;189.26;271.28
06:Q4;220.20;276.16
07:Q1;267.66;258.84
07:Q2;243.90;290.56
07:Q3;325.44;318.42
07:Q4;348.52;352.32
08:Q1;429.80;326.86
08:Q2;455.44;385.46
08:Q3;446.58;404.08
08:Q4;424.04;431.76
09:Q1;517.38;413.90
09:Q2;566.18;524.08
09:Q3;488.58;517.56
09:Q4;465.80;486.86
10:Q1;456.50;463.18
10:Q2;483.76;621.42
10:Q3;457.32;521.52
10:Q4;447.06;500.12
11:Q1;368.06;433.60
11:Q2;284.22;473.36
11:Q3;264.34;423.34
11:Q4;289.38;425.40
12:Q1;291.42;371.42
12:Q2;255.66;398.98
12:Q3;241.68;354.30
12:Q4;209.66;335.92
13:Q1;183.54;309.20
13:Q2;199.62;380.02
13:Q3;167.66;355.46
13:Q4;157.32;332.36
14:Q1;145.14;266.04
14:Q2;115.64;308.12
14:Q3;113.08;262.76
14:Q4;121.76;267.76
15:Q1;112.34;255.22
15:Q2;95.14;265.30
15:Q3;92.60;225.86
15:Q4;104.10;213.28
16:Q1;96.82;206.90
16:Q2;82.84;224.42
16:Q3;80.62;213.30
16:Q4;78.92;204.16
17:Q1;90.66;203.44
17:Q2;84.82;224.02
17:Q3;69.58;208.44
17:Q4;69.16;200.40
18:Q1;76.48;191.54
18:Q2;75.54;224.90
18:Q3;64.36;214.54
18:Q4;67.98;195.20
19:Q1;71.16;192.08
19:Q2;70.40;234.28
19:Q3;64.58;186.12
19:Q4;71.42;201.82
