00:Q1;2.98;1.90;1.74;1.10;2.11;1.66;1.86
00:Q2;3.06;1.93;1.57;1.24;2.06;1.28;1.85
00:Q3;2.93;1.98;1.40;1.22;1.25;1.21;1.73
00:Q4;3.10;2.19;1.47;1.54;1.33;1.84;1.93
01:Q1;3.03;2.39;1.39;1.51;0.80;1.86;1.91
01:Q2;2.98;2.48;1.51;1.57;1.11;2.10;2.01
01:Q3;3.30;2.68;1.70;1.56;1.22;2.35;2.18
01:Q4;3.47;2.84;1.80;1.48;1.16;2.07;2.24
02:Q1;3.98;2.83;2.00;1.55;1.33;2.22;2.41
02:Q2;4.26;2.76;2.13;1.63;1.08;1.93;2.43
02:Q3;4.31;2.70;2.17;1.65;1.04;1.93;2.43
02:Q4;4.20;2.58;2.07;1.37;1.13;1.66;2.30
03:Q1; 3.94 ; 2.57 ; 1.93 ; 1.36 ; 1.00 ; 1.35 ; 2.18 
03:Q2; 3.83 ; 2.59 ; 1.91 ; 1.37 ; 1.17 ; 1.56 ; 2.19 
03:Q3; 3.59 ; 2.54 ; 1.96 ; 1.32 ; 1.12 ; 1.58 ; 2.14 
03:Q4; 3.31 ; 2.31 ; 1.96 ; 1.43 ; 0.96 ; 1.59 ; 2.04 
04:Q1; 3.06 ; 2.14 ; 1.99 ; 1.37 ; 1.07 ; 1.59 ; 1.97 
04:Q2; 2.79 ; 2.12 ; 1.82 ; 1.19 ; 0.97 ; 1.40 ; 1.82 
04:Q3; 2.64 ; 2.15 ; 1.70 ; 1.23 ; 0.97 ; 1.13 ; 1.77 
04:Q4; 2.85 ; 2.19 ; 1.68 ; 1.14 ; 1.00 ; 1.08 ; 1.78 
05:Q1; 2.86 ; 2.20 ; 1.46 ; 1.01 ; 0.92 ; 1.08 ; 1.69 
05:Q2; 2.88 ; 2.10 ; 1.50 ; 1.02 ; 0.84 ; 1.05 ; 1.67 
05:Q3; 3.03 ; 2.00 ; 1.47 ; 0.98 ; 0.91 ; 1.10 ; 1.66 
05:Q4; 2.87 ; 2.03 ; 1.49 ; 1.00 ; 1.04 ; 1.20 ; 1.67 
06:Q1; 2.89 ; 1.92 ; 1.56 ; 0.98 ; 0.99 ; 1.39 ; 1.66 
06:Q2; 3.09 ; 2.24 ; 1.55 ; 1.00 ; 1.14 ; 1.62 ; 1.79 
06:Q3; 3.29 ; 2.49 ; 1.84 ; 1.14 ; 1.40 ; 1.88 ; 2.02 
06:Q4; 3.58 ; 2.72 ; 2.13 ; 1.27 ; 1.30 ; 2.09 ; 2.22 
07:Q1; 3.49 ; 2.97 ; 2.25 ; 1.40 ; 1.33 ; 2.35 ; 2.34 
07:Q2; 3.55 ; 2.88 ; 2.37 ; 1.42 ; 1.37 ; 2.09 ; 2.36 
07:Q3; 3.64 ; 2.98 ; 2.29 ; 1.32 ; 1.25 ; 1.76 ; 2.34 
07:Q4; 4.05 ; 3.14 ; 2.10 ; 1.43 ; 1.49 ; 1.76 ; 2.44 
08:Q1; 4.47 ; 3.37 ; 2.28 ; 1.71 ; 1.98 ; 1.69 ; 2.71 
08:Q2; 4.64 ; 3.53 ; 2.38 ; 1.95 ; 1.89 ; 1.98 ; 2.85 
08:Q3; 5.12 ; 3.81 ; 2.65 ; 2.34 ; 1.89 ; 2.24 ; 3.15 
08:Q4; 5.43 ; 3.90 ; 2.91 ; 2.45 ; 1.72 ; 2.33 ; 3.29 
09:Q1; 5.59 ; 4.00 ; 3.07 ; 2.49 ; 1.49 ; 2.37 ; 3.36 
09:Q2; 5.62 ; 4.06 ; 3.27 ; 2.57 ; 1.89 ; 2.20 ; 3.48 
09:Q3; 5.30 ; 3.87 ; 3.30 ; 2.37 ; 1.92 ; 2.26 ; 3.34 
09:Q4; 4.65 ; 3.81 ; 3.36 ; 2.37 ; 2.03 ; 2.12 ; 3.24 
10:Q1; 4.45 ; 3.57 ; 3.34 ; 2.28 ; 1.86 ; 2.03 ; 3.10 
10:Q2; 4.30 ; 3.43 ; 3.02 ; 2.01 ; 1.49 ; 2.05 ; 2.85 
10:Q3; 3.94 ; 3.12 ; 2.58 ; 1.92 ; 1.24 ; 1.95 ; 2.55 
10:Q4; 3.59 ; 2.89 ; 2.23 ; 1.72 ; 1.14 ; 2.10 ; 2.31 
11:Q1; 3.12 ; 2.62 ; 1.88 ; 1.50 ; 1.09 ; 1.94 ; 2.03 
11:Q2; 2.69 ; 2.37 ; 1.72 ; 1.48 ; 1.04 ; 1.82 ; 1.86 
11:Q3; 2.63 ; 2.37 ; 1.71 ; 1.39 ; 1.02 ; 1.53 ; 1.81 
11:Q4; 2.50 ; 2.23 ; 1.63 ; 1.28 ; 1.02 ; 1.09 ; 1.69 
12:Q1; 2.48 ; 2.20 ; 1.54 ; 1.20 ; 1.00 ; 0.97 ; 1.63 
12:Q2; 2.53 ; 2.13 ; 1.58 ; 1.09 ; 1.00 ; 0.92 ; 1.60 
12:Q3; 2.41 ; 1.93 ; 1.49 ; 1.04 ; 0.98 ; 1.25 ; 1.52 
12:Q4; 2.49 ; 2.06 ; 1.48 ; 1.00 ; 0.75 ; 1.47 ; 1.52 
13:Q1; 2.57 ; 2.26 ; 1.48 ; 1.01 ; 0.68 ; 1.47 ; 1.57 
13:Q2; 2.47 ; 2.44 ; 1.48 ; 1.11 ; 0.68 ; 1.60 ; 1.63 
13:Q3; 2.40 ; 2.49 ; 1.51 ; 1.12 ; 0.73 ; 1.30 ; 1.63 
13:Q4; 2.30 ; 2.34 ; 1.53 ; 1.07 ; 0.80 ; 1.10 ; 1.58 
14:Q1; 2.28 ; 2.24 ; 1.59 ; 0.99 ; 0.88 ; 0.98 ; 1.56 
14:Q2; 2.66 ; 2.17 ; 1.67 ; 1.06 ; 0.87 ; 0.87 ; 1.61 
14:Q3; 2.96 ; 2.35 ; 1.75 ; 1.13 ; 0.86 ; 1.00 ; 1.73 
14:Q4; 3.17 ; 2.69 ; 1.86 ; 1.24 ; 0.88 ; 0.94 ; 1.88 
15:Q1; 3.56 ; 2.65 ; 1.92 ; 1.27 ; 0.93 ; 1.01 ; 1.96 
15:Q2; 3.77 ; 2.76 ; 1.93 ; 1.27 ; 0.90 ; 1.03 ; 2.00 
15:Q3; 3.98 ; 2.66 ; 1.97 ; 1.24 ; 1.03 ; 1.16 ; 2.04 
15:Q4; 4.13 ; 2.49 ; 2.08 ; 1.24 ; 1.14 ; 1.55 ; 2.09 
16:Q1; 4.30 ; 2.60 ; 2.15 ; 1.32 ; 1.19 ; 1.61 ; 2.18 
16:Q2; 4.17 ; 2.56 ; 2.18 ; 1.27 ; 1.31 ; 1.85 ; 2.18 
16:Q3; 3.96 ; 2.71 ; 2.21 ; 1.38 ; 1.30 ; 1.79 ; 2.21 
16:Q4; 4.15 ; 2.79 ; 2.13 ; 1.40 ; 1.39 ; 1.75 ; 2.25 
17:Q1; 4.03 ; 2.85 ; 2.14 ; 1.58 ; 1.38 ; 2.07 ; 2.30 
17:Q2; 4.21 ; 2.76 ; 2.16 ; 1.62 ; 1.42 ; 1.91 ; 2.31 
17:Q3; 4.34 ; 2.84 ; 2.17 ; 1.60 ; 1.56 ; 2.04 ; 2.36 
17:Q4; 4.29 ; 2.66 ; 2.24 ; 1.69 ; 1.49 ; 1.90 ; 2.34 
18:Q1; 4.10 ; 2.63 ; 2.23 ; 1.60 ; 1.65 ; 1.69 ; 2.29 
18:Q2; 4.13 ; 2.77 ; 2.29 ; 1.60 ; 1.65 ; 1.72 ; 2.34 
18:Q3; 4.18 ; 2.66 ; 2.26 ; 1.59 ; 1.60 ; 1.69 ; 2.30 
18:Q4; 4.04 ; 2.92 ; 2.32 ; 1.60 ; 1.59 ; 1.82 ; 2.36 
19:Q1; 4.15 ; 3.00 ; 2.23 ; 1.61 ; 1.45 ; 1.86 ; 2.36 
19:Q2; 3.90 ; 2.98 ; 2.24 ; 1.66 ; 1.43 ; 1.94 ; 2.34 
19:Q3; 3.80 ; 2.98 ; 2.32 ; 1.68 ; 1.41 ; 1.75 ; 2.34 
19:Q4; 4.06 ; 2.89 ; 2.35 ; 1.68 ; 1.38 ; 1.81 ; 2.36 
