;inquiry within 6 mo;closed within 12 mo;open within 12 mo
03:Q1;218.76;275.44;235.03
03:Q2;229.13;289.37;235.60
03:Q3;239.41;289.66;241.85
03:Q4;227.89;307.37;245.30
04:Q1;219.86;284.15;247.11
04:Q2;228.86;257.18;239.60
04:Q3;234.52;243.70;231.76
04:Q4;231.69;226.02;239.48
05:Q1;222.89;225.12;241.77
05:Q2;222.34;217.82;243.09
05:Q3;238.12;221.15;247.25
05:Q4;238.52;230.50;250.93
06:Q1;232.21;217.72;253.65
06:Q2;239.42;234.23;253.33
06:Q3;244.62;243.65;250.70
06:Q4;235.95;237.05;249.48
07:Q1;227.92;249.10;248.41
07:Q2;234.99;240.86;250.65
07:Q3;241.65;221.06;248.27
07:Q4;230.59;215.54;245.12
08:Q1;215.05;220.17;237.20
08:Q2;210.06;221.72;228.68
08:Q3;203.84;226.25;216.85
08:Q4;186.14;295.44;205.89
09:Q1;172.47;318.49;193.54
09:Q2;167.93;333.29;181.09
09:Q3;162.89;375.52;168.38
09:Q4;156.19;318.73;165.86
10:Q1;148.10;294.73;161.24
10:Q2;149.66;272.03;160.59
10:Q3;160.75;216.94;157.94
10:Q4;163.38;211.48;164.30
11:Q1;157.58;194.63;165.91
11:Q2;159.19;199.30;168.30
11:Q3;167.35;183.57;167.95
11:Q4;171.91;165.55;173.64
12:Q1;171.07;184.78;173.03
12:Q2;167.56;174.83;176.68
12:Q3;166.88;185.03;177.38
12:Q4;164.27;205.27;182.07
13:Q1;157.70;189.32;184.78
13:Q2;159.20;198.32;186.81
13:Q3;168.48;202.84;190.86
13:Q4;169.15;179.73;196.29
14:Q1;160.79;169.69;196.07
14:Q2;162.45;159.24;196.08
14:Q3;170.87;148.86;194.77
14:Q4;174.91;179.80;204.36
15:Q1;170.26;185.18;202.40
15:Q2;173.38;187.89;208.22
15:Q3;182.02;191.96;208.59
15:Q4;175.29;193.50;213.90
16:Q1;166.84;189.42;216.27
16:Q2;169.03;194.83;218.14
16:Q3;175.27;188.51;217.01
16:Q4;171.10;192.49;218.51
17:Q1;161.51;198.22;217.79
17:Q2;161.55;193.41;214.22
17:Q3;163.71;190.50;209.09
17:Q4;155.41;197.14;208.29
18:Q1;146.63;198.44;208.75
18:Q2;146.93;217.67;207.28
18:Q3;149.22;217.90;204.68
18:Q4;144.64;223.66;205.94
19:Q1;137.02;229.13;206.04
19:Q2;139.44;216.23;208.21
19:Q3;141.59;211.24;206.24
19:Q4;137.42;207.39;215.91
