state;Q4_2019
 AK ; 59,630 
 AL ; 38,000 
 AR ; 33,950 
 AZ ; 54,290 
 CA ; 73,400 
 CO ; 73,890 
 CT ; 59,840 
 DC ; 88,450 
 DE ; 55,290 
 FL ; 47,380 
 GA ; 49,720 
 HI ; 74,230 
 IA ; 40,740 
 ID ; 50,470 
 IL ; 47,510 
 IN ; 39,570 
 KS ; 38,720 
 KY ; 34,910 
 LA ; 39,740 
 MA ; 65,500 
 MD ; 72,310 
 ME ; 43,740 
 MI ; 40,160 
 MN ; 55,380 
 MO ; 40,380 
 MS ; 33,140 
 MT ; 46,660 
 NC ; 47,260 
 ND ; 45,550 
 NE ; 41,610 
 NH ; 56,640 
 NJ ; 59,100 
 NM ; 41,000 
 NV ; 54,830 
 NY ; 51,280 
 OH ; 39,450 
 OK ; 35,110 
 OR ; 56,620 
 PA ; 43,440 
 PR ;
 RI ; 51,170 
 SC ; 45,420 
 SD ; 43,050 
 TN ; 42,500 
 TX ; 45,290 
 UT ; 62,090 
 VA ; 66,140 
 VT ; 46,490 
 WA ; 67,440 
 WI ; 41,760 
 WV ; 30,580 
 WY ; 47,670 
